Title,Runtime
Life or Something Like It,1h 43m
Scarface,2h 50m
Chhaava,
American Beauty,2h 2m
In Secret,1h 47m
Apocalypse Now,2h 27m
Kingdom of Heaven,2h 24m
All That Jazz,2h 3m
Oldboy,2h
The Count of Monte-Cristo,
Incendies,2h 11m
Predator: Killer of Killers,
Romeo + Juliet,2h
Nope,2h 10m
Star Wars: Episode V - The Empire Strikes Back,2h 4m
Mean Girls,1h 37m
Hereditary,2h 7m
Dune: Part One,2h 35m
Snatch,1h 42m
Azrael,1h 26m
My Fault: London,
Rosario,1h 28m
Deep Water,1h 55m
Crazxy,
Twister,1h 53m
Eternal Sunshine of the Spotless Mind,1h 48m
The Handmaiden,2h 25m
Small Things Like These,1h 38m
Paddington in Peru,1h 46m
The Beekeeper,1h 45m
Bullet Train,2h 7m
"Salò, or the 120 Days of Sodom",1h 57m
12 Angry Men,1h 36m
Materialists,1h 49m
John Wick,1h 41m
Pitch Perfect,1h 52m
Guardians of the Galaxy Vol. 3,2h 30m
Talk to Me,1h 35m
The Biggest Fan,1h 31m
Saving Private Ryan,2h 49m
"Crazy, Stupid, Love.",1h 58m
Murder at Yellowstone City,
Knives Out,2h 10m
Road House,2h 1m
Everything Everywhere All at Once,2h 19m
Eden,2h
MaXXXine,1h 43m
V for Vengeance,1h 26m
The Town,2h 5m
Guardians of the Galaxy,2h 1m
Eyes Wide Shut,2h 39m
Fall,1h 47m
The Breakfast Club,1h 37m
Tropic Thunder,1h 47m
The Green Mile,3h 9m
Get Out,1h 44m
Dog Man,1h 29m
Green Book,2h 10m
It,2h 15m
The Lord of the Rings: The Return of the King,3h 21m
10 Things I Hate About You,1h 37m
Bone Tomahawk,2h 12m
Carry-On,1h 59m
Kingsman: The Secret Service,2h 9m
The Fall Guy,2h 6m
Presence,1h 24m
Avatar: Fire and Ash,
Suicide Squad,2h 3m
John Wick: Chapter 4,2h 49m
Where the Crawdads Sing,2h 5m
How to Train Your Dragon,1h 38m
Ed Kemper,
Terminator 2: Judgment Day,2h 17m
Annihilation,1h 55m
Deep Impact,2h
Saturday Night,1h 49m
The Usual Suspects,1h 46m
Catch Me If You Can,2h 21m
Sin City,2h 4m
Sicario,2h 1m
Killers of the Flower Moon,3h 26m
Bring Her Back,1h 39m
"The Good, the Bad and the Ugly",2h 58m
Iron Man,2h 6m
Thor: Love and Thunder,1h 58m
Mad Max: Fury Road,2h
Queer,2h 17m
Taxi Driver,1h 54m
Dungeons & Dragons: Honor Among Thieves,2h 14m
Hit Man,1h 55m
Don't Worry Darling,2h 3m
Star Wars: Episode VI - Return of the Jedi,2h 11m
Irreversible,1h 37m
Star Wars: Episode VII - The Force Awakens,2h 18m
Scorned,1h 40m
Terrifier 3,2h 5m
Black Panther,2h 14m
Fast Times at Ridgemont High,1h 30m
Shutter Island,2h 18m
Past Lives,1h 45m
The Iron Claw,2h 12m
Abigail,1h 49m
Clueless,1h 37m
The Outsiders,1h 31m
The Man from Earth,1h 27m
It Feeds,
Jaws,2h 4m
City of God,2h 10m
Spirited Away,2h 4m
Day of Reckoning,1h 46m
Watchmen,2h 42m
Blade Runner,1h 57m
Spider-Man,2h 1m
Better Man,2h 15m
Teenage Mutant Ninja Turtles: The Rise of Leo,
The Godfather Part II,3h 22m
The Terminator,1h 47m
Subservience,1h 46m
Indiana Jones and the Last Crusade,2h 7m
There Will Be Blood,2h 38m
Shadow Force,1h 44m
The Help,2h 26m
Mission: Impossible - Fallout,2h 27m
Her,2h 6m
Memento,1h 53m
