Title,Actors
One Flew Over the Cuckoo's Nest,Jack NicholsonLouise FletcherMichael Berryman
Legend,Tom HardyEmily BrowningTaron Egerton
Casablanca,Humphrey BogartIngrid BergmanPaul Henreid
Elevation,Anthony MackieMorena BaccarinMaddie Hasson
Predator,Arnold SchwarzeneggerCarl WeathersKevin Peter Hall
Just Go with It,Adam SandlerJennifer AnistonBrooklyn Decker
The Thing,Kurt RussellWilford BrimleyKeith David
The Menu,Ralph FiennesAnya Taylor-JoyNicholas Hoult
The Shining,Jack NicholsonShelley DuvallDanny Lloyd
Independence Day,Will SmithBill PullmanJeff Goldblum
Superbad,Michael CeraJonah HillChristopher Mintz-Plasse
The Super Mario Bros. Movie,Chris PrattAnya Taylor-JoyCharlie Day
Arrival,Amy AdamsJeremy RennerForest Whitaker
I Know What You Did Last Summer,Jennifer Love HewittSarah Michelle GellarAnne Heche
Final Destination 2,A.J. CookAli LarterTony Todd
Borderlands,Cate BlanchettKevin HartEdgar Ramírez
Oddity,Carolyn BrackenGwilym LeeSteve Wall
Wolfs,George ClooneyBrad PittAmy Ryan
There's Something About Mary,Cameron DiazMatt DillonBen Stiller
The Beach,Leonardo DiCaprioTilda SwintonDaniel York Loh
The Equalizer,Denzel WashingtonMarton CsokasChloë Grace Moretz
Full Metal Jacket,Matthew ModineR. Lee ErmeyVincent D'Onofrio
Mission: Impossible - Ghost Protocol,Tom CruiseJeremy RennerSimon Pegg
Mob Land,Shiloh FernandezJohn TravoltaKevin Dillon
Eddington,Joaquin PhoenixPedro PascalEmma Stone
American History X,Edward NortonEdward FurlongBeverly D'Angelo
Bonjour Tristesse,Chloë SevignyLily McInernyClaes Bang
Beetlejuice Beetlejuice,Michael KeatonWinona RyderCatherine O'Hara
The Big Lebowski,Jeff BridgesJohn GoodmanJulianne Moore
The Big Short,Christian BaleSteve CarellRyan Gosling
Cars,Owen WilsonBonnie HuntPaul Newman
The Bikeriders,Austin ButlerJodie ComerTom Hardy
Blue Is the Warmest Colour,Léa SeydouxAdèle ExarchopoulosSalim Kechiouche
Eternals,Gemma ChanRichard MaddenAngelina Jolie
Nymphomaniac: Vol. I,Charlotte GainsbourgStellan SkarsgårdStacy Martin
Baby Driver,Ansel ElgortJon BernthalJon Hamm
The Sixth Sense,Bruce WillisHaley Joel OsmentToni Collette
Atonement,Keira KnightleyJames McAvoyBrenda Blethyn
The Avengers,Robert Downey Jr.Chris EvansScarlett Johansson
Asteroid City,Jason SchwartzmanScarlett JohanssonTom Hanks
Ocean's Eleven,George ClooneyBrad PittJulia Roberts
Mulholland Drive,Naomi WattsLaura HarringJustin Theroux
Troy,Brad PittEric BanaOrlando Bloom
American Sniper,Bradley CooperSienna MillerKyle Gallner
Braveheart,Mel GibsonSophie MarceauPatrick McGoohan
Vanilla Sky,Tom CruisePenélope CruzCameron Diaz
The Grand Budapest Hotel,Ralph FiennesF. Murray AbrahamMathieu Amalric
Captain America: The First Avenger,Chris EvansHugo WeavingSamuel L. Jackson
Challengers,Mike FaistJosh O'ConnorZendaya
Mission: Impossible II,Tom CruiseDougray ScottThandiwe Newton
The Lion King,Matthew BroderickJeremy IronsJames Earl Jones
Crimes of the Future,Viggo MortensenLéa SeydouxKristen Stewart
The Suicide Squad,Margot RobbieIdris ElbaJohn Cena
Babylon,Brad PittMargot RobbieJean Smart
Paprika,Debora CaprioglioStéphane FerraraMartine Brochard
Kill Bill: Vol. 1,Uma ThurmanDavid CarradineDaryl Hannah
The Hangover,Zach GalifianakisBradley CooperJustin Bartha
La La Land,Ryan GoslingEmma StoneRosemarie DeWitt
Kindergarten Cop,Arnold SchwarzeneggerPenelope Ann MillerPamela Reed
28 Weeks Later,Jeremy RennerRose ByrneRobert Carlyle
Operation Fortune: Ruse de Guerre,Jason StathamAubrey PlazaCary Elwes
Dead Poets Society,Robin WilliamsRobert Sean LeonardEthan Hawke
Napoleon Dynamite,Jon HederEfren RamirezJon Gries
The Devil's Advocate,Keanu ReevesAl PacinoCharlize Theron
Happy Gilmore,Adam SandlerChristopher McDonaldJulie Bowen
Lee,Kate WinsletAndy SambergAlexander Skarsgård
Pearl,Mia GothDavid CorenswetTandi Wright
Airplane!,Robert HaysJulie HagertyLeslie Nielsen
Homestead,Iñigo PascualMark LabellaSusan Misner
Ready Player One,Tye SheridanOlivia CookeBen Mendelsohn
Ready or Not,Samara WeavingAdam BrodyMark O'Brien
Malena,Monica BellucciGiuseppe SulfaroLuciano Federico
