Title,Rating
"Salò, or the 120 Days of Sodom",4.9
12 Angry Men,9.3
Materialists,6.9
John Wick,7.4
Pitch Perfect,6.4
Guardians of the Galaxy Vol. 3,7.6
Talk to Me,7.3
The Biggest Fan,5.8
Saving Private Ryan,8.6
"Crazy, Stupid, Love.",6.5
Murder at Yellowstone City,5.7
Knives Out,7.1
Road House,6.3
Everything Everywhere All at Once,7.9
Eden,5.9
MaXXXine,6.5
V for Vengeance,5.2
The Town,7.7
Guardians of the Galaxy,7.6
Eyes Wide Shut,8.2
Fall,6.1
The Breakfast Club,7.8
Tropic Thunder,6.5
The Green Mile,8.8
Get Out,6.8
Dog Man,7.0
Green Book,8.5
It,6.5
The Lord of the Rings: The Return of the King,8.8
10 Things I Hate About You,6.5
Bone Tomahawk,7.1
Carry-On,6.3
Kingsman: The Secret Service,6.7
The Fall Guy,7.3
Presence,6.1
Avatar: Fire and Ash,7.5
Suicide Squad,7.2
John Wick: Chapter 4,7.4
Where the Crawdads Sing,8.4
How to Train Your Dragon,7.8
Ed Kemper,6.1
Terminator 2: Judgment Day,8.1
Annihilation,7.7
Deep Impact,6.7
Saturday Night,7.1
The Usual Suspects,8.5
Catch Me If You Can,8.2
Sin City,6.5
Sicario,7.1
Killers of the Flower Moon,7.8
Bring Her Back,7.1
"The Good, the Bad and the Ugly",8.2
Iron Man,6.9
Thor: Love and Thunder,7.9
Mad Max: Fury Road,8.2
Queer,6.8
Taxi Driver,8.3
Dungeons & Dragons: Honor Among Thieves,7.9
Hit Man,6.1
Don't Worry Darling,7.1
Star Wars: Episode VI - Return of the Jedi,8.7
Irreversible,6.9
Star Wars: Episode VII - The Force Awakens,6.9
Scorned,5.2
Terrifier 3,6.1
Black Panther,6.6
Fast Times at Ridgemont High,7.0
Shutter Island,8.2
Past Lives,7.6
The Iron Claw,7.9
Abigail,6.7
Clueless,7.1
The Outsiders,7.8
The Man from Earth,5.2
It Feeds,5.8
Jaws,8.2
City of God,8.6
Spirited Away,8.2
Day of Reckoning,9.4
Watchmen,7.6
Blade Runner,8.0
Spider-Man,7.5
Better Man,7.4
Teenage Mutant Ninja Turtles: The Rise of Leo,6.8
The Godfather Part II,9.2
The Terminator,8.6
Subservience,2.1
Indiana Jones and the Last Crusade,8.4
There Will Be Blood,8.2
Shadow Force,5.8
The Help,8.0
Mission: Impossible - Fallout,7.4
Her,7.7
Memento,8.5
Ford v Ferrari,8.1
One Battle After Another,4.8
Marching Powder,5.7
Harry Potter and the Goblet of Fire,7.9
Back in Action,5.4
The Hunger Games: Catching Fire,6.6
Star Wars: Episode IX - The Rise of Skywalker,6.9
Aliens,8.5
Jurassic World Dominion,6.1
Havoc,5.0
One of Them Days,6.9
Y2K,6.9
Hell or High Water,7.7
The Northman,7.0
One Flew Over the Cuckoo's Nest,8.6
Legend,7.2
Casablanca,8.5
Elevation,5.9
Predator,6.3
Just Go with It,6.5
The Thing,8.5
The Menu,7.1
The Shining,8.2
Independence Day,5.2
Superbad,7.7
The Super Mario Bros. Movie,6.5
Arrival,8.0
I Know What You Did Last Summer,4.8
Final Destination 2,5.8
Borderlands,5.9
Oddity,7.1
Wolfs,6.2
There's Something About Mary,7.0
The Beach,6.5
The Equalizer,6.7
Full Metal Jacket,8.2
Mission: Impossible - Ghost Protocol,7.4
Mob Land,6.4
Eddington,7.5
American History X,8.5
Bonjour Tristesse,6.1
Beetlejuice Beetlejuice,7.5
The Big Lebowski,8.1
The Big Short,7.6
Cars,6.2
The Bikeriders,6.8
Blue Is the Warmest Colour,7.1
Eternals,7.3
Nymphomaniac: Vol. I,6.5
Baby Driver,7.8
The Sixth Sense,8.2
Atonement,7.8
The Avengers,7.3
Asteroid City,7.1
Ocean's Eleven,6.5
Mulholland Drive,7.7
Troy,7.6
American Sniper,7.6
Braveheart,8.5
Vanilla Sky,7.6
The Grand Budapest Hotel,8.1
Captain America: The First Avenger,7.7
Challengers,6.8
Mission: Impossible II,6.9
The Lion King,8.3
Crimes of the Future,5.1
The Suicide Squad,5.9
Babylon,8.0
Paprika,5.2
Kill Bill: Vol. 1,8.0
The Hangover,6.5
La La Land,7.8
Kindergarten Cop,6.2
28 Weeks Later,7.5
Operation Fortune: Ruse de Guerre,7.1
Dead Poets Society,8.3
Napoleon Dynamite,7.1
The Devil's Advocate,8.0
Happy Gilmore,6.4
Lee,7.3
Pearl,6.5
Airplane!,6.2
Homestead,5.8
Ready Player One,7.1
Ready or Not,6.4
Malena,7.7
The Heartbreak Kid,6.0
Stand by Me,8.1
Reservoir Dogs,8.9
Star Trek: Section 31,8.3
Jumanji,6.5
Saltburn,7.8
Mission: Impossible III,6.1
Alita: Battle Angel,7.4
Culpa Mía,5.2
The Room Next Door,7.1
Manchester by the Sea,7.4
Court - State Vs. A Nobody,7.5
The Equalizer 3,6.7
War of the Worlds,6.5
The Raid: Redemption,7.9
Almost Famous,7.6
The Fifth Element,7.0
Transformers,6.0
Black Panther: Wakanda Forever,7.3
Woman of the Hour,6.8
Tron: Legacy,6.7
Madame Web,5.1
Totally Killer,6.3
Smile,6.7
Harry Potter and the Deathly Hallows: Part 2,7.7
Interview with the Vampire,7.4
Final Destination 3,6.2
Black Swan,8.3
Constantine,7.1
Little Women,7.4
Idiocracy,7.6
Red Eye,6.3
Megan Is Missing,5.9
Nobody,7.5
Joker,9.0
The Karate Kid,6.1
Indiana Jones and the Temple of Doom,8.2
The Girl Next Door,7.0
1917,8.2
Grown Ups,5.4
The Voyeurs,5.8
Death Becomes Her,6.5
Avatar,7.5
Legally Blonde,4.8
EuroTrip,6.5
Fargo,8.1
Stargate,8.4
The Mummy,6.4
Dora and the Lost City of Gold,6.1
Clue,7.2
Once Upon a Time in America,8.4
The Gift,6.6
Rush,8.1
Avatar: The Way of Water,7.9
The Final Destination,5.9
Rebel Ridge,6.5
Bridget Jones: Mad About the Boy,6.4
The Comeback Trail,6.2
The Hateful Eight,8.5
2001: A Space Odyssey,8.2
The Covenant,7.1
True Grit,7.7
Memories of Murder,8.1
Tenet,7.8
Indiana Jones and the Dial of Destiny,6.2
Divergent,6.2
Hallow Road,8.4
The Smashing Machine,7.6
Fruitvale Station,7.6
A Time to Kill,7.3
Prometheus,6.4
Casino,8.7
Joker: Folie à Deux,8.3
Uncle Buck,7.6
Unforgiven,8.1
Willow,7.2
Me Before You,7.6
500 Days of Summer,7.4
Scream,6.3
Us,7.8
The Secret Life of Walter Mitty,7.8
Mr. Nobody,7.6
Lilo & Stitch,6.2
Fast X,5.2
Frewaka,6.0
Life Is Beautiful,8.5
Good Bad Ugly,8.2
Knock Knock,5.4
Deadpool,7.6
Warrior,8.1
Final Destination 5,5.8
Promising Young Woman,7.2
Come and See,8.4
Downfall,8.2
Kingsman: The Golden Circle,7.7
Angels & Demons,6.6
Train to Busan,7.6
Brokeback Mountain,7.8
2073,7.0
Basic Instinct,6.9
The Great Gatsby,7.9
Zodiac,7.8
RoboCop,5.8
Kinds of Kindness,7.8
The Raid 2,7.6
Grown Ups 2,6.0
Pan's Labyrinth,8.2
The Intouchables,8.8
The Blue Lagoon,5.2
Minority Report,7.0
Apocalypto,7.2
A Different Man,7.1
Mamma Mia!,6.6
Glass Onion,7.9
Wind River,7.6
Costao,7.2
Black Hawk Down,7.5
Love & Other Drugs,6.2
Homefront,6.2
About Time,7.8
Sisters,6.0
300,6.2
Starship Troopers,7.6
The Equalizer 2,7.3
Sneaks,6.3
The Conjuring,7.3
Captain America: The Winter Soldier,7.8
Love Hurts,6.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.5
Home Alone,6.9
Jumanji: Welcome to the Jungle,6.6
A Clockwork Orange,8.2
Dunkirk,7.3
Alarum,3.6
We're the Millers,7.7
Drive,8.0
The Unholy Trinity,6.8
Love Lies Bleeding,5.8
The Witch,7.4
A Knight's Tale,6.8
The Place Beyond the Pines,7.8
Transformers One,6.9
The Fugitive,6.6
21 Jump Street,7.0
Spider-Man: Into the Spider-Verse,8.5
Monty Python and the Holy Grail,8.0
Sixteen Candles,6.7
Platoon,8.1
The Lord of the Rings: The Two Towers,9.0
Amadeus,8.3
"Three Billboards Outside Ebbing, Missouri",8.1
Mob Cops,6.1
The Hobbit: An Unexpected Journey,7.8
Point Break,7.3
Five Nights at Freddy's,7.8
Hacksaw Ridge,8.2
The Rose of Versailles,8.3
Inside Out 2,8.1
The Age of Adaline,7.4
Ratatouille,8.1
Thor: Ragnarok,7.5
Shallow Hal,7.1
Star Wars: Episode VIII - The Last Jedi,7.8
Landmine Goes Click,5.7
Jurassic World,6.1
Harry Potter and the Prisoner of Azkaban,7.4
Call Me by Your Name,7.4
The Game,7.8
Hidden Figures,8.1
Split,6.6
Y tu mamá también,6.6
Martyrs,6.7
Here,6.9
If Only,5.3
Stardust,7.0
Popeye: The Slayer Man,4.2
Gunslingers,4.1
Unfaithful,6.0
Secretary,6.2
True Romance,7.2
Edge of Tomorrow,7.0
Total Recall,7.6
I Spit on Your Grave,5.7
Ex Machina,6.8
The Toxic Avenger,6.2
Once Upon a Time in the West,8.5
No Time to Die,6.8
Superman,6.8
The Ballad of Wallis Island,6.8
The Hunt,8.4
The Rule of Jenny Pen,6.0
Mission: Impossible - Rogue Nation,7.4
Horizon: An American Saga - Chapter 1,7.2
Sing,7.3
The Pianist,8.6
Creed,7.1
Grave of the Fireflies,8.4
